date,revenue,campaign,source,click_count
2023-04-02 03:00:00,2.0,Unknown,Clicks.net,1.0
2023-04-02 03:00:00,67.71,paidsearch,Lead Current,0.0
2023-04-02 03:00:00,4.0,Unknown,My Ad Optimizer,2.0
2023-04-02 04:00:00,95.0,Unknown,Education Dynamics,0.0
2023-04-02 04:00:00,240.0,Unknown,Southern New Hampshire University,0.0
2023-04-02 04:00:00,8.0,Unknown,Clicks.net,4.0
2023-04-02 04:00:00,10.0,17636347892,Clicks.net,5.0
2023-04-02 04:00:00,12.0,18463616520,Clicks.net,6.0
2023-04-02 04:00:00,148.83,paidsearch,Lead Current,0.0
2023-04-02 05:00:00,60.0,Unknown,Southern New Hampshire University,0.0
2023-04-02 05:00:00,2.0,Unknown,Clicks.net,1.0
2023-04-02 05:00:00,2.0,17636347892,Clicks.net,1.0
2023-04-02 05:00:00,2.0,18463616520,Clicks.net,1.0
2023-04-02 05:00:00,122.23,paidsearch,Lead Current,0.0
2023-04-02 06:00:00,19.0,Unknown,Education Dynamics,0.0
2023-04-02 06:00:00,60.0,Unknown,Southern New Hampshire University,0.0
2023-04-02 06:00:00,4.0,Unknown,Clicks.net,2.0
2023-04-02 06:00:00,12.0,18463616520,Clicks.net,6.0
2023-04-02 06:00:00,108.31,paidsearch,Lead Current,0.0
2023-04-02 07:00:00,7.0,Unknown,Education Dynamics,0.0
2023-04-02 07:00:00,60.0,Unknown,Southern New Hampshire University,0.0
